Indices with the equal value of the average in the column
Column 1 | average = 0.492583: 
Column 2237 | average = 0.491302: 
Column 2238 | average = 0.494777: 
Column 2239 | average = 0.495210: 
Column 2240 | average = 0.504064: 
Column 2241 | average = 0.499574: 
Column 2242 | average = 0.498207: 
Column 2243 | average = 0.490992: 139, 290, 358, 381, 389, 512, 551, 691, 723, 726, 824, 924, 1006, 1086, 1106, 1168, 1317, 1410, 1487, 1542, 1549, 1666, 1917, 2395, 2462, 2520, 2565, 2633, 2685, 2792, 2928, 3016, 3021, 3157, 3221, 3457, 3497, 3570, 3623, 4167, 4170, 4251, 4252, 4338, 4348, 4445, 4510, 4534, 4681, 4713, 4787, 4829, 5124, 5205, 5310, 5353, 5531, 5583, 5642, 5700, 5714, 5757, 5781, 5876, 5903, 5915, 6008, 6051, 6311, 6332, 6435, 6487, 6586, 6677, 6746, 6824, 6864, 6898, 7028, 7076, 7189, 7246, 7354, 7374, 7449, 7483, 7492, 7919, 7940, 7954, 8006, 8088, 8386, 8474, 8523, 8553, 8620, 8722, 8770, 8798, 8851, 8862, 8962, 9083, 9520, 9828, 9831, 9909, 
Column 2244 | average = 0.498388: 
Column 2245 | average = 0.495703: 
Column 2246 | average = 0.494597: 
Column 2247 | average = 0.496320: 
Column 2248 | average = 0.496151: 
Column 2249 | average = 0.496166: 
Column 2250 | average = 0.495692: 
Column 2251 | average = 0.497085: 
Column 2252 | average = 0.494661: 
Column 2253 | average = 0.485732: 
Column 2254 | average = 0.495603: 
Column 2255 | average = 0.492887: 
Column 2256 | average = 0.492543: 
Column 2257 | average = 0.489794: 
Column 2258 | average = 0.496311: 
Column 2259 | average = 0.491759: 
Column 2260 | average = 0.494907: 
Column 2261 | average = 0.499454: 
Column 2262 | average = 0.493189: 
Column 2263 | average = 0.491987: 
Column 2264 | average = 0.497722: 
Column 2265 | average = 0.490398: 31, 92, 404, 408, 607, 676, 823, 963, 1596, 1630, 1662, 1930, 2034, 2049, 2260, 2624, 2693, 2879, 3101, 3108, 3150, 3201, 3222, 3250, 3316, 3433, 3442, 3582, 3670, 3884, 3939, 3991, 4171, 4239, 4321, 4460, 4478, 4746, 4811, 4874, 4875, 5028, 5105, 5188, 5253, 5450, 5451, 5507, 5569, 5622, 5765, 5770, 6028, 6061, 6083, 6255, 6302, 6323, 6350, 6364, 6423, 6604, 6702, 6733, 6763, 6769, 6779, 6854, 6891, 6990, 6995, 7045, 7161, 7196, 7260, 7312, 7485, 7518, 7871, 8151, 8167, 8239, 8270, 8365, 9110, 9129, 9206, 9319, 9401, 9536, 9781, 9842, 9908, 
Column 2266 | average = 0.498230: 
Column 2267 | average = 0.492214: 
Column 2268 | average = 0.491723: 
Column 2269 | average = 0.491688: 
Column 2270 | average = 0.496268: 
Column 2271 | average = 0.495370: 
Column 2272 | average = 0.497413: 
Column 2273 | average = 0.498961: 
Column 2274 | average = 0.501371: 
Column 2275 | average = 0.495418: 
Column 2276 | average = 0.497431: 
Column 2277 | average = 0.499781: 
Column 2278 | average = 0.496356: 
Column 2279 | average = 0.496555: 
Column 2280 | average = 0.492922: 
Column 2281 | average = 0.497585: 
Column 2282 | average = 0.495883: 
Column 2283 | average = 0.498779: 
Column 2284 | average = 0.492584: 
Column 2285 | average = 0.496224: 
Column 2286 | average = 0.490838: 30, 116, 117, 187, 500, 624, 650, 697, 700, 714, 788, 844, 877, 904, 913, 1037, 1323, 1332, 1351, 1433, 1482, 1590, 1616, 1928, 1992, 2033, 2272, 2434, 2990, 3048, 3142, 3259, 3273, 3401, 3474, 3490, 3492, 3531, 3545, 3585, 3638, 3724, 4129, 4270, 4306, 4492, 4543, 4551, 4639, 4660, 4823, 4881, 4890, 4960, 5021, 5078, 5156, 5235, 5241, 5293, 5462, 5829, 5927, 5946, 5947, 5955, 5966, 5983, 6100, 6187, 6270, 6377, 6421, 6574, 6842, 7103, 7246, 7282, 7317, 7372, 7390, 7410, 7571, 7632, 7663, 7933, 8251, 8341, 8386, 8387, 8485, 8566, 8626, 8630, 8752, 8783, 8889, 9111, 9148, 9176, 9181, 9350, 9399, 9600, 9605, 9790, 9876, 
Column 2287 | average = 0.500738: 79, 126, 429, 451, 544, 582, 759, 976, 1007, 1087, 1286, 1300, 1520, 1559, 1636, 1638, 1673, 1881, 1890, 1959, 1961, 2050, 2280, 2346, 2477, 2528, 2532, 2603, 2823, 2847, 2989, 3019, 3085, 3087, 3134, 3158, 3183, 3386, 3389, 3528, 3559, 3689, 3707, 3715, 3799, 3862, 3914, 3926, 3931, 3995, 4049, 4112, 4195, 4223, 4277, 4392, 4490, 4492, 4508, 4540, 4545, 4627, 4775, 4795, 4943, 5077, 5093, 5195, 5218, 5319, 5847, 5910, 6214, 6251, 6434, 6809, 7166, 7235, 7250, 7341, 7379, 7393, 7399, 7466, 7479, 7504, 7525, 7534, 7843, 7981, 8158, 8190, 8475, 8506, 8536, 8551, 8620, 8649, 8807, 8815, 8904, 8913, 8947, 8970, 9111, 9199, 9426, 9434, 9596, 9650, 9661, 9665, 9667, 9763, 9862, 9978, 
Column 2288 | average = 0.496316: 
Column 2289 | average = 0.495683: 
Column 2290 | average = 0.498329: 
Column 2291 | average = 0.494079: 
Column 2292 | average = 0.492593: 
Column 2293 | average = 0.494912: 
Column 2294 | average = 0.494111: 
Column 2295 | average = 0.494727: 
Column 2296 | average = 0.499300: 
Column 2297 | average = 0.493137: 
Column 2298 | average = 0.491458: 
Column 2299 | average = 0.496327: 
Column 2300 | average = 0.492637: 
Column 2301 | average = 0.495908: 
Column 2302 | average = 0.496745: 
Column 2303 | average = 0.501633: 
Column 2304 | average = 0.492291: 
Column 2305 | average = 0.494771: 
Column 2306 | average = 0.495453: 
Column 2307 | average = 0.497488: 
Column 2308 | average = 0.491747: 
Column 2309 | average = 0.495010: 
Column 2310 | average = 0.493739: 
Column 2311 | average = 0.498539: 
Column 2312 | average = 0.494193: 
Column 2313 | average = 0.494088: 
Column 2314 | average = 0.491396: 
Column 2315 | average = 0.496139: 
Column 2316 | average = 0.495785: 
Column 2317 | average = 0.495616: 
Column 2318 | average = 0.495674: 
Column 2319 | average = 0.498579: 
Column 2320 | average = 0.496469: 
Column 2321 | average = 0.497053: 
Column 2322 | average = 0.494738: 
Column 2323 | average = 0.497674: 
Column 2324 | average = 0.496270: 
Column 2325 | average = 0.494126: 
Column 2326 | average = 0.497355: 
Column 2327 | average = 0.495056: 
Column 2328 | average = 0.492817: 
Column 2329 | average = 0.496341: 
Column 2330 | average = 0.494800: 
Column 2331 | average = 0.494513: 
Column 2332 | average = 0.493757: 
Column 2333 | average = 0.491108: 
Column 2334 | average = 0.493700: 
Column 2335 | average = 0.492375: 
Column 2336 | average = 0.496608: 
Column 2337 | average = 0.497392: 
Column 2338 | average = 0.498343: 
Column 2339 | average = 0.492047: 
Column 2340 | average = 0.495814: 
Column 2341 | average = 0.497004: 
Column 2342 | average = 0.497967: 
Column 2343 | average = 0.491958: 
Column 2344 | average = 0.492480: 
Column 2345 | average = 0.485553: 
Column 2346 | average = 0.493069: 
Column 2347 | average = 0.494490: 
Column 2348 | average = 0.497255: 
Column 2349 | average = 0.498753: 
Column 2350 | average = 0.497546: 
Column 2351 | average = 0.490956: 40, 42, 85, 168, 232, 334, 568, 575, 732, 735, 811, 888, 1154, 1175, 1186, 1331, 1359, 1538, 1587, 1611, 1867, 1914, 2084, 2134, 2333, 2482, 2503, 2662, 2802, 2818, 2832, 2863, 2911, 2969, 3222, 3254, 3319, 3339, 3364, 3426, 3435, 3534, 3544, 3560, 3588, 3689, 3743, 3776, 3898, 3953, 4062, 4107, 4122, 4130, 4205, 4548, 4633, 4768, 4861, 4863, 4869, 5083, 5298, 5478, 5547, 5696, 5794, 5834, 5847, 5877, 5893, 5922, 6331, 6542, 6614, 6709, 7240, 7259, 7260, 7350, 7363, 7447, 7805, 7887, 8030, 8120, 8121, 8294, 8581, 8614, 8661, 8727, 8866, 8890, 8981, 9023, 9032, 9087, 9287, 9511, 9772, 9866, 9903, 
Column 2352 | average = 0.492503: 
Column 2353 | average = 0.495204: 
Column 2354 | average = 0.501316: 
Column 2355 | average = 0.493349: 
Column 2356 | average = 0.497202: 
Column 2357 | average = 0.491490: 
Column 2358 | average = 0.497362: 
Column 2359 | average = 0.492339: 
Column 2360 | average = 0.492110: 
Column 2361 | average = 0.496731: 
Column 2362 | average = 0.493199: 
Column 2363 | average = 0.494645: 
Column 2364 | average = 0.493783: 
Column 2365 | average = 0.495568: 
Column 2366 | average = 0.496035: 
Column 2367 | average = 0.497070: 
Column 2368 | average = 0.495460: 
Column 2369 | average = 0.497789: 
Column 2370 | average = 0.494531: 
Column 2371 | average = 0.495234: 
Column 2372 | average = 0.497816: 
Column 2373 | average = 0.484225: 
Column 2374 | average = 0.494223: 
Column 2375 | average = 0.495195: 
Column 2376 | average = 0.490072: 139, 147, 154, 211, 278, 320, 357, 364, 496, 623, 627, 829, 971, 1254, 1269, 1463, 1574, 1757, 1913, 1921, 1966, 2039, 2203, 2284, 2302, 2432, 2475, 2559, 2575, 2595, 2986, 3026, 3179, 3230, 3270, 3537, 4014, 4094, 4337, 4380, 4574, 4667, 4701, 4832, 4968, 4974, 4993, 5184, 5388, 5561, 5714, 5856, 6034, 6347, 6398, 6433, 6462, 6511, 6556, 6592, 6639, 7002, 7187, 7261, 7311, 7313, 7315, 7438, 7506, 7883, 7912, 8019, 8138, 8145, 8252, 8325, 8471, 8635, 8747, 8936, 9279, 9404, 9506, 9515, 9673, 9677, 9727, 9879, 9968, 
Column 2377 | average = 0.495594: 
Column 2378 | average = 0.492405: 
Column 2379 | average = 0.496309: 
Column 2380 | average = 0.494012: 
Column 2381 | average = 0.489567: 
Column 2382 | average = 0.497911: 
Column 2383 | average = 0.493900: 
Column 2384 | average = 0.492708: 
Column 2385 | average = 0.497263: 
Column 2386 | average = 0.495102: 
Column 2387 | average = 0.494337: 
Column 2388 | average = 0.495382: 
Column 2389 | average = 0.496759: 
Column 2390 | average = 0.493492: 
Column 2391 | average = 0.496456: 
Column 2392 | average = 0.499045: 
Column 2393 | average = 0.497742: 
Column 2394 | average = 0.499751: 
Column 2395 | average = 0.493185: 
Column 2396 | average = 0.498237: 
Column 2397 | average = 0.490396: 78, 135, 212, 370, 397, 575, 611, 615, 654, 703, 716, 963, 981, 1010, 1014, 1073, 1128, 1142, 1205, 1293, 1457, 1496, 1526, 1629, 1731, 1766, 1825, 1829, 1848, 1870, 1910, 1916, 2019, 2102, 2223, 2817, 2994, 3004, 3102, 3306, 3312, 3570, 3572, 3886, 3896, 3951, 3998, 4100, 4141, 4658, 4783, 4952, 5055, 5074, 5104, 5449, 5506, 5550, 5600, 5664, 5742, 5906, 6153, 6411, 6476, 6630, 6648, 6680, 6745, 6817, 7223, 7742, 7971, 8008, 8298, 8808, 9020, 9039, 9178, 9191, 9281, 9282, 9297, 9393, 9412, 9457, 9569, 9598, 9766, 9772, 9785, 9830, 9905, 
Column 2398 | average = 0.495113: 
Column 2399 | average = 0.497321: 
Column 2400 | average = 0.498519: 
Column 2401 | average = 0.494514: 
Column 2402 | average = 0.495262: 
Column 2403 | average = 0.495233: 
Column 2404 | average = 0.493621: 
Column 2405 | average = 0.487676: 
Column 2406 | average = 0.497680: 
Column 2407 | average = 0.496846: 
Column 2408 | average = 0.500770: 13, 171, 209, 223, 230, 239, 358, 414, 473, 523, 538, 801, 870, 935, 993, 1098, 1166, 1175, 1277, 1390, 1455, 1624, 1717, 1842, 1975, 2006, 2041, 2091, 2227, 2452, 2472, 2647, 2672, 2723, 2946, 2971, 3095, 3311, 3318, 3667, 3726, 3742, 3799, 3840, 3923, 3978, 4126, 4158, 4298, 4372, 4392, 4752, 4765, 4866, 4896, 4965, 4994, 5151, 5235, 5452, 5500, 5586, 5624, 5763, 5855, 5872, 6019, 6030, 6078, 6088, 6193, 6270, 6405, 6410, 6573, 6672, 6809, 6848, 6853, 6854, 7235, 7390, 7466, 7542, 7671, 7692, 7734, 7753, 7833, 7870, 7911, 7926, 8139, 8314, 8347, 8386, 8393, 8462, 8569, 8760, 8843, 8932, 9163, 9483, 9519, 9612, 9643, 9703, 9709, 9740, 9754, 9755, 9796, 9990, 
Column 2409 | average = 0.497210: 
Column 2410 | average = 0.496686: 
Column 2411 | average = 0.493321: 
Column 2412 | average = 0.496237: 
Column 2413 | average = 0.493057: 
Column 2414 | average = 0.492559: 
Column 2415 | average = 0.494557: 
Column 2416 | average = 0.490692: 221, 318, 401, 423, 489, 1034, 1054, 1070, 1074, 1090, 1245, 1265, 1323, 1394, 1609, 1681, 2281, 2342, 2416, 2452, 2462, 2511, 2512, 2600, 2770, 2919, 2924, 2946, 3132, 3206, 3406, 3518, 3741, 4042, 4107, 4187, 4507, 4552, 4604, 4637, 4808, 4851, 4863, 4886, 4890, 5097, 5155, 5306, 5455, 5559, 5602, 5908, 5983, 6021, 6045, 6142, 6349, 6374, 6680, 6687, 6821, 6823, 6876, 6914, 6985, 7066, 7236, 7493, 7533, 7591, 7620, 7629, 7685, 8079, 8139, 8327, 8377, 8393, 8410, 8491, 8513, 8559, 8605, 8655, 9166, 9207, 9378, 9534, 9536, 9543, 9661, 9794, 9810, 9826, 9892, 
Column 2417 | average = 0.494025: 
Column 2418 | average = 0.495208: 
Column 2419 | average = 0.498493: 
Column 2420 | average = 0.499589: 
Column 2421 | average = 0.497843: 
Column 2422 | average = 0.496664: 
Column 2423 | average = 0.490857: 145, 246, 321, 339, 340, 358, 359, 520, 605, 607, 773, 784, 811, 872, 921, 972, 996, 1125, 1149, 1168, 1216, 1329, 1431, 1474, 1520, 1561, 1614, 1618, 1713, 1937, 2201, 2288, 2290, 2338, 2669, 2678, 2698, 2725, 2762, 2787, 2820, 2843, 2946, 2985, 3051, 3256, 3354, 3533, 3537, 3699, 3907, 3950, 3967, 3975, 4055, 4108, 4187, 4267, 4345, 4362, 4381, 4472, 4536, 4606, 4790, 4800, 4886, 4913, 4968, 4983, 5108, 5191, 5282, 5682, 5698, 5773, 5806, 5935, 6014, 6157, 6337, 6393, 6489, 6641, 6888, 6919, 6945, 6964, 7062, 7085, 7404, 7721, 7745, 7759, 7904, 7971, 7973, 8044, 8266, 8393, 8465, 8502, 8760, 8961, 9074, 9321, 9372, 9390, 9528, 9549, 
Column 2424 | average = 0.494313: 
Column 2425 | average = 0.492848: 
Column 2426 | average = 0.497598: 
Column 2427 | average = 0.486257: 
Column 2428 | average = 0.499155: 
Column 2429 | average = 0.497395: 
Column 2430 | average = 0.493507: 
Column 2431 | average = 0.495717: 
Column 2432 | average = 0.501697: 
Column 2433 | average = 0.492515: 
Column 2434 | average = 0.495890: 
Column 2435 | average = 0.493919: 
Column 2436 | average = 0.492525: 
Column 2437 | average = 0.492408: 
Column 2438 | average = 0.491911: 
Column 2439 | average = 0.498459: 
Column 2440 | average = 0.487734: 
Column 2441 | average = 0.496323: 
Column 2442 | average = 0.496080: 
Column 2443 | average = 0.496524: 
Column 2444 | average = 0.493788: 
Column 2445 | average = 0.494243: 
Column 2446 | average = 0.492290: 
Column 2447 | average = 0.491155: 
Column 2448 | average = 0.495097: 
Column 2449 | average = 0.496698: 
Column 2450 | average = 0.490995: 12, 31, 134, 272, 377, 469, 673, 917, 1028, 1138, 1422, 1437, 1445, 1773, 1800, 1841, 1845, 1887, 2243, 2343, 2379, 2387, 2417, 2499, 2657, 2682, 2823, 2949, 2958, 3193, 3235, 3338, 3392, 3444, 3489, 3493, 3617, 3695, 3804, 3844, 3977, 4047, 4164, 4263, 4432, 4471, 4519, 4553, 4736, 4750, 4765, 4803, 4808, 4861, 4942, 4957, 5010, 5115, 5247, 5379, 5404, 5421, 5473, 5474, 5595, 5637, 5855, 6150, 6183, 6232, 6353, 6354, 6438, 6552, 6563, 6842, 6930, 7025, 7119, 7193, 7249, 7253, 7354, 7417, 7461, 7500, 7535, 7554, 7822, 7907, 8102, 8133, 8306, 8349, 8381, 8416, 8438, 8441, 8690, 8729, 8775, 8881, 8986, 9000, 9044, 9058, 9062, 9271, 9277, 9281, 9316, 9465, 9474, 9509, 9592, 9710, 9758, 9844, 
Column 2451 | average = 0.490980: 7, 117, 133, 150, 195, 290, 301, 326, 476, 527, 710, 1069, 1213, 1583, 1648, 1675, 1747, 1808, 2079, 2110, 2128, 2146, 2181, 2240, 2400, 2491, 2560, 2853, 2869, 2985, 3081, 3157, 3285, 3371, 3551, 3673, 3840, 3877, 3954, 3999, 4060, 4184, 4386, 4659, 4774, 5008, 5024, 5046, 5075, 5153, 5421, 5438, 5584, 5910, 5978, 6067, 6330, 6533, 6554, 6588, 6593, 6623, 6644, 6765, 6944, 7027, 7221, 7266, 7287, 7429, 7525, 7556, 7608, 7746, 7852, 7895, 7996, 8120, 8165, 8191, 8219, 8261, 8377, 8432, 8589, 8689, 8867, 8914, 8926, 9065, 9075, 9115, 9184, 9215, 9449, 9580, 9737, 9838, 9943, 
Column 2452 | average = 0.497284: 
Column 2453 | average = 0.494047: 
Column 2454 | average = 0.497882: 
Column 2455 | average = 0.497683: 
Column 2456 | average = 0.496538: 
Column 2457 | average = 0.499119: 
Column 2458 | average = 0.493018: 
Column 2459 | average = 0.493161: 
Column 2460 | average = 0.493969: 
Column 2461 | average = 0.496139: 
Column 2462 | average = 0.494245: 
Column 2463 | average = 0.490383: 57, 82, 88, 121, 276, 325, 332, 552, 559, 593, 673, 682, 710, 796, 957, 1163, 1393, 1404, 1432, 1561, 1771, 1785, 1815, 1970, 2621, 2703, 2781, 3229, 3304, 3324, 3354, 3444, 3590, 3688, 3691, 3701, 3796, 3931, 3944, 3991, 4017, 4062, 4071, 4138, 4143, 4204, 4220, 4360, 4542, 4576, 4578, 4637, 4898, 4922, 4966, 4983, 5136, 5140, 5201, 5325, 5330, 5446, 5473, 5676, 5759, 5871, 6146, 6186, 6299, 6332, 6637, 6700, 6735, 6866, 7003, 7236, 7248, 7425, 7616, 7840, 7937, 8011, 8027, 8036, 8050, 8197, 8266, 8305, 8484, 8562, 8653, 8864, 8885, 8971, 9086, 9157, 9272, 9559, 9586, 9642, 9714, 9847, 9924, 
Column 2464 | average = 0.494866: 
Column 2465 | average = 0.488444: 
Column 2466 | average = 0.498347: 
Column 2467 | average = 0.496177: 
Column 2468 | average = 0.497136: 
Column 2469 | average = 0.492721: 
Column 2470 | average = 0.494789: 
Column 2471 | average = 0.495204: 
Column 2472 | average = 0.502998: 
Column 2473 | average = 0.492883: 
Column 2474 | average = 0.499081: 
Column 2475 | average = 0.493290: 
Column 2476 | average = 0.493850: 
Column 2477 | average = 0.492612: 
Column 2478 | average = 0.489100: 
Column 2479 | average = 0.498133: 
Column 2480 | average = 0.497838: 
Column 2481 | average = 0.498655: 
Column 2482 | average = 0.496274: 
Column 2483 | average = 0.494862: 
Column 2484 | average = 0.496127: 
Column 2485 | average = 0.496176: 
Column 2486 | average = 0.492693: 
Column 2487 | average = 0.492786: 
Column 2488 | average = 0.493357: 
Column 2489 | average = 0.499189: 
Column 2490 | average = 0.497213: 
Column 2491 | average = 0.490164: 260, 494, 1083, 1269, 1764, 2259, 2427, 2431, 2439, 2585, 2663, 2678, 2703, 2965, 3038, 3102, 3174, 3223, 3300, 3334, 3374, 3387, 3511, 3752, 3872, 3903, 3922, 4108, 4320, 4338, 4538, 4706, 4736, 4750, 5117, 5142, 5379, 5394, 5411, 5455, 5755, 5822, 5937, 6080, 6155, 6365, 6366, 6480, 6797, 6976, 7072, 7098, 7213, 7265, 7288, 7319, 7407, 7482, 7541, 7560, 7725, 7771, 8040, 8067, 8114, 8176, 8188, 8221, 8273, 8737, 8890, 8936, 8940, 8959, 9272, 9313, 9344, 9459, 9502, 9680, 9783, 9792, 9846, 
Column 2492 | average = 0.496187: 
Column 2493 | average = 0.500882: 9, 22, 62, 358, 397, 430, 545, 736, 753, 791, 856, 862, 965, 1146, 1450, 1486, 1571, 1646, 1657, 1890, 1909, 1998, 2078, 2367, 2435, 2487, 2942, 2979, 3530, 3647, 3727, 3885, 4115, 4159, 4169, 4178, 4537, 4587, 4611, 4641, 4645, 4654, 4748, 4772, 4811, 4832, 4840, 4881, 4980, 4998, 5011, 5038, 5078, 5080, 5088, 5119, 5288, 5342, 5579, 5977, 6004, 6224, 6499, 6596, 6602, 6604, 6645, 6648, 6737, 6821, 6853, 6908, 7046, 7053, 7146, 7222, 7304, 7391, 7490, 7572, 7709, 7733, 7773, 7971, 8005, 8270, 8330, 8347, 8366, 8385, 8621, 8701, 8723, 8918, 9195, 9295, 9545, 9595, 9615, 9646, 9694, 9758, 9839, 9877, 9974, 
Column 2494 | average = 0.495341: 
Column 2495 | average = 0.496704: 
Column 2496 | average = 0.496434: 
Column 2497 | average = 0.495481: 
Column 2498 | average = 0.496122: 
Column 2499 | average = 0.499484: 
Column 2500 | average = 0.496522: 
Column 2501 | average = 0.499475: 
Column 2502 | average = 0.493812: 
Column 2503 | average = 0.495679: 
Column 2504 | average = 0.495039: 
Column 2505 | average = 0.496964: 
Column 2506 | average = 0.487480: 
Column 2507 | average = 0.495784: 
Column 2508 | average = 0.498581: 
Column 2509 | average = 0.489134: 
Column 2510 | average = 0.493224: 
Column 2511 | average = 0.493010: 
Column 2512 | average = 0.497968: 
Column 2513 | average = 0.499180: 
Column 2514 | average = 0.497079: 
Column 2515 | average = 0.492502: 
Column 2516 | average = 0.491007: 
Column 2517 | average = 0.492445: 
Column 2518 | average = 0.498606: 
Column 2519 | average = 0.494079: 
Column 2520 | average = 0.495362: 
Column 2521 | average = 0.494756: 
Column 2522 | average = 0.492029: 
Column 2523 | average = 0.490248: 27, 82, 179, 282, 304, 417, 457, 654, 835, 839, 841, 850, 868, 931, 958, 1216, 1451, 1561, 1616, 1654, 1658, 1758, 1769, 1797, 1822, 2080, 2110, 2234, 2379, 2395, 2963, 3028, 3151, 3325, 3375, 3393, 3404, 3431, 3467, 3630, 3723, 3853, 3996, 4109, 4141, 4252, 4284, 4312, 4416, 4448, 4646, 4656, 4753, 5003, 5025, 5087, 5245, 5273, 5287, 5340, 5517, 5578, 5981, 6044, 6076, 6188, 6199, 6459, 6561, 6643, 6698, 6886, 7021, 7092, 7253, 7377, 7694, 7796, 7828, 8119, 8294, 8455, 8553, 8563, 8577, 8584, 8642, 8664, 8744, 8755, 8839, 8869, 8959, 9115, 9324, 9477, 9500, 9646, 9706, 
Column 2524 | average = 0.496722: 
Column 2525 | average = 0.500694: 77, 145, 180, 352, 489, 541, 740, 746, 752, 783, 852, 956, 1031, 1057, 1124, 1294, 1350, 1355, 1409, 1624, 1659, 1720, 1751, 1801, 1904, 1933, 2118, 2590, 2593, 2680, 2749, 2988, 3091, 3238, 3263, 3265, 3432, 3691, 3745, 4083, 4118, 4121, 4181, 4319, 4322, 4372, 4476, 4496, 4513, 4527, 4626, 4678, 4813, 4897, 4926, 4934, 5028, 5092, 5097, 5111, 5238, 5461, 5587, 5700, 5745, 5960, 6218, 6220, 6258, 6333, 6538, 6609, 6662, 6728, 6779, 7033, 7087, 7203, 7471, 7701, 7994, 8102, 8125, 8183, 8312, 8837, 8847, 8921, 8928, 8939, 9027, 9045, 9063, 9112, 9149, 9217, 9240, 9253, 9390, 9431, 9634, 9731, 9785, 9910, 9992, 
Column 2526 | average = 0.492039: 
Column 2527 | average = 0.489950: 
Column 2528 | average = 0.495030: 
Column 2529 | average = 0.493664: 
Column 2530 | average = 0.494530: 
Column 2531 | average = 0.497818: 
Column 2532 | average = 0.495205: 
Column 2533 | average = 0.497262: 
Column 2534 | average = 0.492567: 
Column 2535 | average = 0.495146: 
Column 2536 | average = 0.495019: 
Column 2537 | average = 0.491487: 
Column 2538 | average = 0.498611: 
Column 2539 | average = 0.496901: 
Column 2540 | average = 0.497115: 
Column 2541 | average = 0.492148: 
Column 2542 | average = 0.490146: 64, 181, 193, 418, 459, 712, 1070, 1352, 1539, 1568, 1583, 1800, 1955, 1998, 2055, 2299, 2646, 2657, 2817, 2875, 2987, 3135, 3294, 3297, 3330, 3360, 3387, 3467, 3536, 3548, 3707, 3718, 3934, 3967, 4619, 4731, 4769, 4848, 4898, 5018, 5158, 5343, 5417, 5510, 5599, 5636, 5653, 5819, 5944, 5992, 6002, 6005, 6013, 6027, 6068, 6091, 6213, 6320, 6374, 6527, 6917, 7148, 7168, 7170, 7176, 7246, 7430, 7444, 7454, 7512, 7516, 7537, 7584, 7615, 7683, 7845, 7854, 7856, 7888, 8019, 8023, 8050, 8150, 8270, 8322, 8388, 8606, 8653, 8792, 8934, 8939, 9001, 9132, 9171, 9189, 9243, 9263, 9355, 9717, 9816, 9942, 9971, 9984, 
Column 2543 | average = 0.495865: 
Column 2544 | average = 0.492263: 
Column 2545 | average = 0.494572: 
Column 2546 | average = 0.496056: 
Column 2547 | average = 0.492939: 
Column 2548 | average = 0.494342: 
Column 2549 | average = 0.494535: 
Column 2550 | average = 0.491140: 
Column 2551 | average = 0.492852: 
Column 2552 | average = 0.493221: 
Column 2553 | average = 0.491710: 
Column 2554 | average = 0.495364: 
Column 2555 | average = 0.494921: 
Column 2556 | average = 0.494110: 
Column 2557 | average = 0.489126: 
Column 2558 | average = 0.492483: 
Column 2559 | average = 0.497522: 
Column 2560 | average = 0.493989: 
Column 2561 | average = 0.493852: 
Column 2562 | average = 0.495325: 
Column 2563 | average = 0.494162: 
Column 2564 | average = 0.494808: 
Column 2565 | average = 0.494025: 
Column 2566 | average = 0.495903: 
Column 2567 | average = 0.492049: 
Column 2568 | average = 0.492450: 
Column 2569 | average = 0.495415: 
Column 2570 | average = 0.497022: 
Column 2571 | average = 0.492705: 
Column 2572 | average = 0.495405: 
Column 2573 | average = 0.493111: 
Column 2574 | average = 0.498880: 
Column 2575 | average = 0.494838: 
Column 2576 | average = 0.498714: 
Column 2577 | average = 0.497008: 
Column 2578 | average = 0.494425: 
Column 2579 | average = 0.494821: 
Column 2580 | average = 0.500217: 161, 212, 384, 444, 455, 618, 662, 820, 949, 1174, 1377, 1450, 1481, 1511, 1630, 1661, 1869, 1946, 2080, 2129, 2156, 2159, 2227, 2307, 2308, 2376, 2406, 2450, 2479, 2522, 2564, 2584, 2666, 3024, 3318, 3381, 3471, 3605, 3624, 3630, 3675, 3879, 3935, 4009, 4056, 4154, 4320, 4338, 4411, 4428, 4504, 4515, 4531, 4543, 4587, 4655, 4686, 4687, 4696, 4998, 5037, 5038, 5071, 5098, 5273, 5382, 5403, 5619, 5785, 5874, 6026, 6105, 6140, 6211, 6238, 6275, 6412, 6430, 6691, 6698, 6702, 6744, 6757, 6785, 7109, 7195, 7211, 7234, 7299, 7303, 7670, 7857, 7896, 7933, 8023, 8260, 8301, 8807, 8917, 8970, 9261, 9272, 9398, 9465, 9547, 9728, 9733, 9793, 9800, 9883, 9905, 
Column 2581 | average = 0.492293: 
Column 2582 | average = 0.498202: 
Column 2583 | average = 0.499593: 
Column 2584 | average = 0.493603: 
Column 2585 | average = 0.494961: 
Column 2586 | average = 0.492746: 
